merchant_id,merchant_name,city,business_segment,acquisition_channel,registered_cohort_month,registered_at,validation_started_at,documents_completed_at,approved_at,activated_at,rejected_at,abandoned_at,last_onboarding_event_type,last_onboarding_event_at,highest_stage_reached,onboarding_status,exit_from_stage,onboarding_event_count,days_since_registered,days_in_current_stage,is_commercial_activation_30d_eligible,is_technically_activated,days_to_technical_activation,first_transaction_date,days_to_first_transaction,first_transaction_status,commercial_activation_30d,days_since_first_transaction,is_active_30d_eligible,is_active_30d
M072,Mercado Boreal,Cali,SMALL,REFERIDOS,2025-09,2025-09-19T16:00:00-05:00,2025-09-20T01:30:00-05:00,2025-09-25T06:00:00-05:00,2025-09-29T00:30:00-05:00,2025-10-01T02:00:00-05:00,,,ACTIVATED,2025-10-01T02:00:00-05:00,ACTIVATED,ACTIVATED,,5,347,335,True,True,12,2025-10-06,17,ON_TIME,True,330,True,True
M073,Papelería Horizonte,Pereira,SMALL,DIGITAL,2025-12,2025-12-27T16:15:00-05:00,2025-12-27T23:15:00-05:00,2025-12-29T17:00:00-05:00,,,2025-12-30T14:45:00-05:00,,REJECTED,2025-12-30T14:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,248,245,True,False,,,,NOT_APPLICABLE,False,,False,
M074,Restaurante Sol,Cali,SMALL,DIGITAL,2025-09,2025-09-12T17:45:00-05:00,2025-09-14T08:00:00-05:00,2025-09-21T04:00:00-05:00,2025-09-24T13:15:00-05:00,2025-09-27T13:30:00-05:00,,,ACTIVATED,2025-09-27T13:30:00-05:00,ACTIVATED,ACTIVATED,,5,354,339,True,True,15,2025-10-03,21,ON_TIME,True,333,True,True
M075,Boutique Roble,Barranquilla,SMALL,DIGITAL,2026-01,2026-01-25T10:00:00-05:00,2026-01-26T11:00:00-05:00,2026-02-03T14:30:00-05:00,2026-02-08T13:00:00-05:00,2026-02-09T09:00:00-05:00,,,ACTIVATED,2026-02-09T09:00:00-05:00,ACTIVATED,ACTIVATED,,5,219,204,True,True,15,2026-02-13,19,ON_TIME,True,200,True,True
M076,Papelería Guayacán,Barranquilla,SMALL,VENTA_DIRECTA,2025-06,2025-06-25T12:15:00-05:00,2025-06-25T15:00:00-05:00,,,,2025-06-27T02:15:00-05:00,,REJECTED,2025-06-27T02:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,433,431,True,False,,,,NOT_APPLICABLE,False,,False,
M077,Taller Colibrí,Pereira,MEDIUM,REFERIDOS,2026-04,2026-04-10T09:45:00-05:00,2026-04-10T16:15:00-05:00,2026-04-13T05:15:00-05:00,2026-04-17T01:00:00-05:00,2026-04-20T19:45:00-05:00,,,ACTIVATED,2026-04-20T19:45:00-05:00,ACTIVATED,ACTIVATED,,5,144,134,True,True,10,2026-04-20,10,ON_TIME,True,134,True,True
M078,Distribuidora Coral,Barranquilla,SMALL,DIGITAL,2025-03,2025-03-25T16:30:00-05:00,2025-03-25T21:15:00-05:00,2025-04-04T05:45:00-05:00,2025-04-08T12:00:00-05:00,2025-04-11T03:45:00-05:00,,,ACTIVATED,2025-04-11T03:45:00-05:00,ACTIVATED,ACTIVATED,,5,525,508,True,True,17,2025-04-17,23,ON_TIME,True,502,True,True
M079,Miscelánea Aurora,Bucaramanga,SMALL,DIGITAL,2025-05,2025-05-26T08:00:00-05:00,2025-05-27T16:30:00-05:00,2025-05-30T22:00:00-05:00,,,2025-05-31T11:45:00-05:00,,REJECTED,2025-05-31T11:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,463,458,True,False,,,,NOT_APPLICABLE,False,,False,
M080,Ferretería Marea,Bogotá,SMALL,DIGITAL,2025-10,2025-10-27T15:15:00-05:00,2025-10-29T12:00:00-05:00,2025-11-01T09:15:00-05:00,2025-11-02T19:30:00-05:00,2025-11-05T05:00:00-05:00,,,ACTIVATED,2025-11-05T05:00:00-05:00,ACTIVATED,ACTIVATED,,5,309,300,True,True,9,2025-11-09,13,ON_TIME,True,296,True,True
M081,Panadería Sabana,Pereira,SMALL,DIGITAL,2026-01,2026-01-22T12:00:00-05:00,2026-01-23T13:15:00-05:00,2026-01-26T20:15:00-05:00,2026-01-31T23:15:00-05:00,2026-02-02T01:45:00-05:00,,,ACTIVATED,2026-02-02T01:45:00-05:00,ACTIVATED,ACTIVATED,,5,222,211,True,True,11,2026-02-08,17,ON_TIME,True,205,True,True
M082,Boutique Alameda,Cartagena,MEDIUM,VENTA_DIRECTA,2025-09,2025-09-12T09:00:00-05:00,2025-09-12T20:30:00-05:00,,,,,,VALIDATION_STARTED,2025-09-12T20:30:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,354,354,True,False,,,,NOT_APPLICABLE,False,,False,
M083,Óptica Alameda,Cali,SMALL,ALIADOS,2025-07,2025-07-31T09:30:00-05:00,2025-08-01T20:30:00-05:00,2025-08-09T07:00:00-05:00,,,,2025-08-16T08:45:00-05:00,ABANDONED,2025-08-16T08:45:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,397,381,True,False,,,,NOT_APPLICABLE,False,,False,
M084,Miscelánea Andino,Bogotá,SMALL,VENTA_DIRECTA,2026-05,2026-05-08T08:45:00-05:00,2026-05-09T21:15:00-05:00,2026-05-12T09:15:00-05:00,2026-05-15T00:00:00-05:00,2026-05-19T05:15:00-05:00,,,ACTIVATED,2026-05-19T05:15:00-05:00,ACTIVATED,ACTIVATED,,5,116,105,True,True,11,2026-05-21,13,ON_TIME,True,103,True,True
M085,Taller Boreal,Bogotá,SMALL,VENTA_DIRECTA,2026-03,2026-03-08T17:45:00-05:00,2026-03-09T00:30:00-05:00,2026-03-13T22:00:00-05:00,2026-03-15T08:45:00-05:00,2026-03-16T22:45:00-05:00,,,ACTIVATED,2026-03-16T22:45:00-05:00,ACTIVATED,ACTIVATED,,5,177,169,True,True,8,2026-03-18,10,ON_TIME,True,167,True,True
M086,Papelería Prisma,Barranquilla,MEDIUM,VENTA_DIRECTA,2026-08,2026-08-03T15:45:00-05:00,2026-08-05T05:45:00-05:00,2026-08-07T04:15:00-05:00,2026-08-13T13:15:00-05:00,2026-08-15T14:30:00-05:00,,,ACTIVATED,2026-08-15T14:30:00-05:00,ACTIVATED,ACTIVATED,,5,29,17,False,True,12,2026-08-20,17,ON_TIME,,12,False,
M087,Ferretería Roble,Bogotá,SMALL,DIGITAL,2025-10,2025-10-29T13:15:00-05:00,2025-10-31T09:30:00-05:00,,,,,2025-11-03T20:00:00-05:00,ABANDONED,2025-11-03T20:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,307,302,True,False,,,,NOT_APPLICABLE,False,,False,
M088,Papelería Marea,Pereira,SMALL,VENTA_DIRECTA,2026-05,2026-05-30T09:15:00-05:00,,,,,,,REGISTERED,2026-05-30T09:15:00-05:00,REGISTERED,IN_PROGRESS,,1,94,94,True,False,,,,NOT_APPLICABLE,False,,False,
M089,Óptica Cedro,Medellín,SMALL,VENTA_DIRECTA,2025-08,2025-08-07T17:45:00-05:00,2025-08-09T17:15:00-05:00,2025-08-17T05:30:00-05:00,,,2025-08-18T11:45:00-05:00,,REJECTED,2025-08-18T11:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,390,379,True,False,,,,NOT_APPLICABLE,False,,False,
M090,Óptica Sabana,Cali,SMALL,REFERIDOS,2025-04,2025-04-29T09:00:00-05:00,2025-04-30T05:00:00-05:00,2025-05-09T04:30:00-05:00,2025-05-14T10:45:00-05:00,2025-05-17T10:45:00-05:00,,,ACTIVATED,2025-05-17T10:45:00-05:00,ACTIVATED,ACTIVATED,,5,490,472,True,True,18,2025-05-17,18,ON_TIME,True,472,True,True
M091,Farmacia Guayacán,Barranquilla,SMALL,VENTA_DIRECTA,2025-09,2025-09-13T11:45:00-05:00,2025-09-15T11:45:00-05:00,2025-09-22T04:30:00-05:00,2025-09-28T23:15:00-05:00,2025-10-03T02:45:00-05:00,,,ACTIVATED,2025-10-03T02:45:00-05:00,ACTIVATED,ACTIVATED,,5,353,333,True,True,20,2025-10-08,25,ON_TIME,True,328,True,True
M092,Miscelánea Colibrí,Cali,SMALL,ALIADOS,2025-02,2025-02-22T11:15:00-05:00,2025-02-23T14:45:00-05:00,2025-02-26T00:00:00-05:00,2025-03-04T16:45:00-05:00,2025-03-07T22:30:00-05:00,,,ACTIVATED,2025-03-07T22:30:00-05:00,ACTIVATED,ACTIVATED,,5,556,543,True,True,13,2025-03-09,15,ON_TIME,True,541,True,True
M093,Miscelánea Esmeralda,Cali,SMALL,ALIADOS,2025-05,2025-05-04T14:45:00-05:00,2025-05-05T11:00:00-05:00,2025-05-11T05:15:00-05:00,2025-05-12T14:30:00-05:00,2025-05-15T21:00:00-05:00,,,ACTIVATED,2025-05-15T21:00:00-05:00,ACTIVATED,ACTIVATED,,5,485,474,True,True,11,2025-05-17,13,ON_TIME,True,472,True,True
M094,Ferretería Nébula,Medellín,SMALL,VENTA_DIRECTA,2025-12,2025-12-18T16:15:00-05:00,2025-12-20T12:15:00-05:00,2025-12-26T20:15:00-05:00,2025-12-31T17:45:00-05:00,2026-01-01T18:45:00-05:00,,,ACTIVATED,2026-01-01T18:45:00-05:00,ACTIVATED,ACTIVATED,,5,257,243,True,True,14,2026-01-08,21,ON_TIME,True,236,True,True
M095,Restaurante Aurora,Bogotá,SMALL,DIGITAL,2025-07,2025-07-05T08:30:00-05:00,,,,,,2025-07-10T13:45:00-05:00,ABANDONED,2025-07-10T13:45:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,423,418,True,False,,,,NOT_APPLICABLE,False,,False,
M096,Distribuidora Prisma,Medellín,SMALL,ALIADOS,2025-04,2025-04-25T12:45:00-05:00,2025-04-25T14:00:00-05:00,2025-04-28T01:45:00-05:00,2025-05-03T07:15:00-05:00,2025-05-06T23:15:00-05:00,,,ACTIVATED,2025-05-06T23:15:00-05:00,ACTIVATED,ACTIVATED,,5,494,483,True,True,11,2025-05-13,18,ON_TIME,True,476,True,True
M097,Óptica Sol,Bogotá,SMALL,DIGITAL,2025-09,2025-09-15T12:00:00-05:00,2025-09-15T14:30:00-05:00,2025-09-22T07:00:00-05:00,2025-09-26T23:00:00-05:00,2025-09-27T12:15:00-05:00,,,ACTIVATED,2025-09-27T12:15:00-05:00,ACTIVATED,ACTIVATED,,5,351,339,True,True,12,2025-09-30,15,ON_TIME,True,336,True,True
M098,Panadería Sol,Bucaramanga,SMALL,ALIADOS,2025-04,2025-04-24T14:00:00-05:00,2025-04-25T09:00:00-05:00,,,,2025-04-26T21:15:00-05:00,,REJECTED,2025-04-26T21:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,495,493,True,False,,,,NOT_APPLICABLE,False,,False,
M099,Café Cedro,Bogotá,SMALL,DIGITAL,2025-06,2025-06-16T12:15:00-05:00,2025-06-18T02:30:00-05:00,2025-06-25T06:45:00-05:00,,,2025-06-29T00:00:00-05:00,,REJECTED,2025-06-29T00:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,442,429,True,False,,,,NOT_APPLICABLE,False,,False,
M100,Ferretería Boreal,Cali,SMALL,VENTA_DIRECTA,2025-12,2025-12-26T13:30:00-05:00,2025-12-27T08:15:00-05:00,2026-01-04T19:00:00-05:00,,,,2026-01-06T23:00:00-05:00,ABANDONED,2026-01-06T23:00:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,249,238,True,False,,,,NOT_APPLICABLE,False,,False,
M101,Mercado Nébula,Cali,MEDIUM,DIGITAL,2025-03,2025-03-11T10:30:00-05:00,2025-03-12T12:00:00-05:00,2025-03-20T02:30:00-05:00,2025-03-22T12:45:00-05:00,2025-03-25T03:00:00-05:00,,,ACTIVATED,2025-03-25T03:00:00-05:00,ACTIVATED,ACTIVATED,,5,539,525,True,True,14,2025-03-27,16,ON_TIME,True,523,True,True
M102,Ferretería Sol,Medellín,SMALL,DIGITAL,2026-01,2026-01-21T14:30:00-05:00,2026-01-21T23:30:00-05:00,2026-01-23T06:00:00-05:00,2026-01-26T17:15:00-05:00,2026-01-30T14:15:00-05:00,,,ACTIVATED,2026-01-30T14:15:00-05:00,ACTIVATED,ACTIVATED,,5,223,214,True,True,9,2026-03-17,55,LATE,False,168,True,True
M103,Panadería Nébula,Cartagena,MEDIUM,DIGITAL,2025-10,2025-10-06T08:45:00-05:00,2025-10-07T19:00:00-05:00,2025-10-16T15:45:00-05:00,2025-10-20T04:15:00-05:00,2025-10-22T19:30:00-05:00,,,ACTIVATED,2025-10-22T19:30:00-05:00,ACTIVATED,ACTIVATED,,5,330,314,True,True,16,2025-11-07,32,LATE,False,298,True,True
M104,Panadería Boreal,Medellín,SMALL,DIGITAL,2025-02,2025-02-17T16:00:00-05:00,2025-02-17T18:15:00-05:00,,,,,2025-02-20T16:00:00-05:00,ABANDONED,2025-02-20T16:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,561,558,True,False,,,,NOT_APPLICABLE,False,,False,
M105,Farmacia Coral,Cali,SMALL,ALIADOS,2025-05,2025-05-08T09:15:00-05:00,2025-05-10T08:00:00-05:00,2025-05-13T20:15:00-05:00,,,2025-05-14T06:45:00-05:00,,REJECTED,2025-05-14T06:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,481,475,True,False,,,,NOT_APPLICABLE,False,,False,
M106,Panadería Andino,Bogotá,SMALL,ALIADOS,2026-05,2026-05-18T11:00:00-05:00,2026-05-19T20:45:00-05:00,2026-05-21T23:00:00-05:00,2026-05-27T04:30:00-05:00,2026-05-31T00:15:00-05:00,,,ACTIVATED,2026-05-31T00:15:00-05:00,ACTIVATED,ACTIVATED,,5,106,93,True,True,13,2026-06-03,16,ON_TIME,True,90,True,True
M107,Ferretería Manzano,Bogotá,MEDIUM,DIGITAL,2025-08,2025-08-18T09:45:00-05:00,2025-08-18T14:00:00-05:00,2025-08-20T21:15:00-05:00,2025-08-24T23:45:00-05:00,2025-08-27T16:00:00-05:00,,,ACTIVATED,2025-08-27T16:00:00-05:00,ACTIVATED,ACTIVATED,,5,379,370,True,True,9,2025-08-30,12,ON_TIME,True,367,True,True
M108,Panadería Esmeralda,Medellín,MEDIUM,DIGITAL,2025-12,2025-12-26T17:30:00-05:00,2025-12-28T13:45:00-05:00,2025-12-31T17:30:00-05:00,2026-01-04T14:15:00-05:00,2026-01-05T07:00:00-05:00,,,ACTIVATED,2026-01-05T07:00:00-05:00,ACTIVATED,ACTIVATED,,5,249,239,True,True,10,2026-01-07,12,ON_TIME,True,237,True,True
M109,Floristería Boreal,Bogotá,SMALL,VENTA_DIRECTA,2025-01,2025-01-04T17:15:00-05:00,2025-01-06T06:30:00-05:00,2025-01-11T13:15:00-05:00,2025-01-14T14:15:00-05:00,2025-01-16T19:15:00-05:00,,,ACTIVATED,2025-01-16T19:15:00-05:00,ACTIVATED,ACTIVATED,,5,605,593,True,True,12,2025-01-23,19,ON_TIME,True,586,True,True
M110,Librería Guayacán,Medellín,SMALL,ALIADOS,2025-10,2025-10-17T11:45:00-05:00,2025-10-18T08:00:00-05:00,2025-10-26T12:45:00-05:00,2025-11-01T14:45:00-05:00,2025-11-05T06:00:00-05:00,,,ACTIVATED,2025-11-05T06:00:00-05:00,ACTIVATED,ACTIVATED,,5,319,300,True,True,19,2025-11-10,24,ON_TIME,True,295,True,True
M111,Floristería Prisma,Bogotá,SMALL,ALIADOS,2025-04,2025-04-14T13:00:00-05:00,2025-04-14T16:15:00-05:00,2025-04-21T18:30:00-05:00,2025-04-28T11:30:00-05:00,2025-04-29T23:15:00-05:00,,,ACTIVATED,2025-04-29T23:15:00-05:00,ACTIVATED,ACTIVATED,,5,505,490,True,True,15,2025-05-01,17,ON_TIME,True,488,True,True
M112,Boutique Andino,Medellín,SMALL,DIGITAL,2025-11,2025-11-24T08:30:00-05:00,2025-11-25T02:15:00-05:00,2025-12-01T06:30:00-05:00,2025-12-07T05:15:00-05:00,2025-12-10T07:45:00-05:00,,,ACTIVATED,2025-12-10T07:45:00-05:00,ACTIVATED,ACTIVATED,,5,281,265,True,True,16,2025-12-14,20,ON_TIME,True,261,True,True
M113,Papelería Roble,Bucaramanga,SMALL,DIGITAL,2025-11,2025-11-27T09:15:00-05:00,2025-11-29T01:15:00-05:00,2025-12-07T19:15:00-05:00,2025-12-14T13:15:00-05:00,2025-12-19T05:00:00-05:00,,,ACTIVATED,2025-12-19T05:00:00-05:00,ACTIVATED,ACTIVATED,,5,278,256,True,True,22,2025-12-21,24,ON_TIME,True,254,True,True
M114,Miscelánea Prisma,Barranquilla,SMALL,DIGITAL,2025-03,2025-03-11T09:45:00-05:00,2025-03-12T01:30:00-05:00,2025-03-14T06:00:00-05:00,2025-03-18T11:45:00-05:00,2025-03-20T05:00:00-05:00,,,ACTIVATED,2025-03-20T05:00:00-05:00,ACTIVATED,ACTIVATED,,5,539,530,True,True,9,2025-03-20,9,ON_TIME,True,530,True,True
M115,Floristería Roble,Bogotá,MEDIUM,REFERIDOS,2026-06,2026-06-11T09:30:00-05:00,2026-06-12T20:30:00-05:00,2026-06-20T19:15:00-05:00,2026-06-27T16:45:00-05:00,2026-07-02T10:30:00-05:00,,,ACTIVATED,2026-07-02T10:30:00-05:00,ACTIVATED,ACTIVATED,,5,82,61,True,True,21,2026-07-06,25,ON_TIME,True,57,True,True
M116,Heladería Boreal,Cali,SMALL,REFERIDOS,2026-05,2026-05-03T08:45:00-05:00,2026-05-04T11:45:00-05:00,2026-05-10T08:45:00-05:00,2026-05-12T04:15:00-05:00,2026-05-14T22:30:00-05:00,,,ACTIVATED,2026-05-14T22:30:00-05:00,ACTIVATED,ACTIVATED,,5,121,110,True,True,11,2026-05-18,15,ON_TIME,True,106,True,True
M117,Distribuidora Boreal,Cali,SMALL,ALIADOS,2025-05,2025-05-21T17:30:00-05:00,,,,,,2025-05-27T08:00:00-05:00,ABANDONED,2025-05-27T08:00:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,468,462,True,False,,,,NOT_APPLICABLE,False,,False,
M118,Miscelánea Granada,Bucaramanga,SMALL,REFERIDOS,2025-05,2025-05-09T15:00:00-05:00,2025-05-10T05:15:00-05:00,2025-05-15T17:15:00-05:00,2025-05-19T09:15:00-05:00,2025-05-22T06:15:00-05:00,,,ACTIVATED,2025-05-22T06:15:00-05:00,ACTIVATED,ACTIVATED,,5,480,467,True,True,13,2025-05-24,15,ON_TIME,True,465,True,True
M119,Ferretería Granada,Cali,SMALL,ALIADOS,2025-10,2025-10-31T15:00:00-05:00,2025-11-01T10:15:00-05:00,2025-11-11T00:15:00-05:00,2025-11-13T23:00:00-05:00,2025-11-16T16:15:00-05:00,,,ACTIVATED,2025-11-16T16:15:00-05:00,ACTIVATED,ACTIVATED,,5,305,289,True,True,16,2025-12-09,39,LATE,False,266,True,True
M120,Miscelánea Roble,Bogotá,SMALL,REFERIDOS,2025-07,2025-07-09T11:45:00-05:00,2025-07-10T03:00:00-05:00,2025-07-14T20:30:00-05:00,2025-07-17T05:30:00-05:00,,,2025-07-27T03:15:00-05:00,ABANDONED,2025-07-27T03:15:00-05:00,APPROVED,ABANDONED,APPROVED,5,419,401,True,False,,,,NOT_APPLICABLE,False,,False,
M121,Floristería Cedro,Pereira,SMALL,ALIADOS,2025-08,2025-08-05T12:45:00-05:00,2025-08-07T13:15:00-05:00,2025-08-17T06:00:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-08-17T06:00:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,392,380,True,False,,,,NOT_APPLICABLE,False,,False,
M122,Farmacia Litoral,Barranquilla,SMALL,VENTA_DIRECTA,2025-10,2025-10-04T16:45:00-05:00,2025-10-05T02:00:00-05:00,2025-10-06T17:00:00-05:00,2025-10-07T22:45:00-05:00,2025-10-12T20:15:00-05:00,,,ACTIVATED,2025-10-12T20:15:00-05:00,ACTIVATED,ACTIVATED,,5,332,324,True,True,8,2025-11-18,45,LATE,False,287,True,True
M123,Mercado Nogal,Bogotá,SMALL,VENTA_DIRECTA,2026-05,2026-05-30T15:15:00-05:00,2026-06-01T10:45:00-05:00,2026-06-04T04:00:00-05:00,2026-06-06T22:15:00-05:00,2026-06-11T11:15:00-05:00,,,ACTIVATED,2026-06-11T11:15:00-05:00,ACTIVATED,ACTIVATED,,5,94,82,True,True,12,2026-06-17,18,ON_TIME,True,76,True,True
M124,Restaurante Colibrí,Bogotá,SMALL,DIGITAL,2025-03,2025-03-06T14:15:00-05:00,2025-03-06T16:30:00-05:00,2025-03-11T13:45:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-03-11T13:45:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,544,539,True,False,,,,NOT_APPLICABLE,False,,False,
M125,Panadería Roble,Bogotá,SMALL,ALIADOS,2025-05,2025-05-29T08:30:00-05:00,2025-05-30T20:15:00-05:00,,,,,2025-06-05T14:45:00-05:00,ABANDONED,2025-06-05T14:45:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,460,453,True,False,,,,NOT_APPLICABLE,False,,False,
M126,Mercado Sabana,Bogotá,MEDIUM,DIGITAL,2025-07,2025-07-27T11:45:00-05:00,2025-07-28T20:00:00-05:00,2025-08-06T12:30:00-05:00,2025-08-13T06:45:00-05:00,,,2025-08-20T15:45:00-05:00,ABANDONED,2025-08-20T15:45:00-05:00,APPROVED,ABANDONED,APPROVED,5,401,377,True,False,,,,NOT_APPLICABLE,False,,False,
M127,Taller Alameda,Medellín,SMALL,VENTA_DIRECTA,2025-07,2025-07-22T16:30:00-05:00,2025-07-22T23:45:00-05:00,2025-07-24T16:30:00-05:00,2025-07-26T21:15:00-05:00,2025-07-29T17:45:00-05:00,,,ACTIVATED,2025-07-29T17:45:00-05:00,ACTIVATED,ACTIVATED,,5,406,399,True,True,7,2025-07-31,9,ON_TIME,True,397,True,True
M128,Floristería Aurora,Barranquilla,SMALL,VENTA_DIRECTA,2025-11,2025-11-22T16:30:00-05:00,2025-11-24T11:30:00-05:00,2025-12-04T04:00:00-05:00,2025-12-07T04:15:00-05:00,2025-12-11T16:45:00-05:00,,,ACTIVATED,2025-12-11T16:45:00-05:00,ACTIVATED,ACTIVATED,,5,283,264,True,True,19,2025-12-11,19,ON_TIME,True,264,True,True
M129,Miscelánea Coral,Cartagena,SMALL,VENTA_DIRECTA,2026-04,2026-04-09T12:15:00-05:00,2026-04-09T21:45:00-05:00,2026-04-19T04:30:00-05:00,2026-04-22T01:00:00-05:00,2026-04-22T15:30:00-05:00,,,ACTIVATED,2026-04-22T15:30:00-05:00,ACTIVATED,ACTIVATED,,5,145,132,True,True,13,2026-04-24,15,ON_TIME,True,130,True,True
M130,Distribuidora Aurora,Medellín,MEDIUM,ALIADOS,2026-05,2026-05-25T15:45:00-05:00,2026-05-26T00:15:00-05:00,2026-05-30T12:00:00-05:00,2026-06-02T12:00:00-05:00,,,,APPROVED,2026-06-02T12:00:00-05:00,APPROVED,IN_PROGRESS,,4,99,91,True,False,,,,NOT_APPLICABLE,False,,False,
M131,Farmacia Alameda,Bogotá,SMALL,VENTA_DIRECTA,2025-11,2025-11-06T10:00:00-05:00,2025-11-06T12:15:00-05:00,2025-11-08T18:00:00-05:00,,,,2025-11-15T23:45:00-05:00,ABANDONED,2025-11-15T23:45:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,299,290,True,False,,,,NOT_APPLICABLE,False,,False,
M132,Ferretería Cedro,Bucaramanga,MEDIUM,DIGITAL,2026-04,2026-04-01T17:30:00-05:00,2026-04-02T14:45:00-05:00,2026-04-12T07:15:00-05:00,2026-04-17T04:30:00-05:00,2026-04-18T13:15:00-05:00,,,ACTIVATED,2026-04-18T13:15:00-05:00,ACTIVATED,ACTIVATED,,5,153,136,True,True,17,2026-04-21,20,ON_TIME,True,133,True,True
M133,Miscelánea Sabana,Bogotá,SMALL,DIGITAL,2026-03,2026-03-12T13:30:00-05:00,2026-03-14T14:00:00-05:00,2026-03-23T23:45:00-05:00,,,,,DOCUMENTS_COMPLETED,2026-03-23T23:45:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,173,162,True,False,,,,NOT_APPLICABLE,False,,False,
M134,Óptica Colibrí,Medellín,SMALL,REFERIDOS,2026-03,2026-03-20T10:45:00-05:00,2026-03-22T09:45:00-05:00,2026-04-01T10:00:00-05:00,2026-04-08T08:30:00-05:00,2026-04-12T02:15:00-05:00,,,ACTIVATED,2026-04-12T02:15:00-05:00,ACTIVATED,ACTIVATED,,5,165,142,True,True,23,2026-04-16,27,ON_TIME,True,138,True,True
M135,Taller Roble,Bogotá,MEDIUM,REFERIDOS,2025-02,2025-02-21T17:30:00-05:00,2025-02-23T12:15:00-05:00,2025-02-28T07:00:00-05:00,,,2025-03-03T18:00:00-05:00,,REJECTED,2025-03-03T18:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,557,547,True,False,,,,NOT_APPLICABLE,False,,False,
M136,Librería Alameda,Barranquilla,SMALL,DIGITAL,2026-01,2026-01-15T14:15:00-05:00,2026-01-16T04:45:00-05:00,2026-01-23T04:15:00-05:00,2026-01-28T01:30:00-05:00,2026-01-28T20:30:00-05:00,,,ACTIVATED,2026-01-28T20:30:00-05:00,ACTIVATED,ACTIVATED,,5,229,216,True,True,13,2026-02-02,18,ON_TIME,True,211,True,True
M137,Heladería Marea,Bucaramanga,MEDIUM,VENTA_DIRECTA,2025-06,2025-06-08T09:45:00-05:00,2025-06-10T00:00:00-05:00,2025-06-19T20:15:00-05:00,,,2025-06-20T04:00:00-05:00,,REJECTED,2025-06-20T04:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,450,438,True,False,,,,NOT_APPLICABLE,False,,False,
M138,Floristería Litoral,Barranquilla,SMALL,DIGITAL,2026-02,2026-02-11T16:30:00-05:00,2026-02-13T04:15:00-05:00,,,,2026-02-15T02:15:00-05:00,,REJECTED,2026-02-15T02:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,202,198,True,False,,,,NOT_APPLICABLE,False,,False,
M139,Restaurante Alameda,Cartagena,SMALL,DIGITAL,2026-05,2026-05-03T17:45:00-05:00,2026-05-04T10:15:00-05:00,2026-05-07T03:30:00-05:00,,,2026-05-08T04:30:00-05:00,,REJECTED,2026-05-08T04:30:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,121,116,True,False,,,,NOT_APPLICABLE,False,,False,
M140,Restaurante Andino,Cali,SMALL,DIGITAL,2025-01,2025-01-31T13:45:00-05:00,2025-02-01T08:15:00-05:00,2025-02-11T08:45:00-05:00,2025-02-13T05:00:00-05:00,,,,APPROVED,2025-02-13T05:00:00-05:00,APPROVED,IN_PROGRESS,,4,578,565,True,False,,,,NOT_APPLICABLE,False,,False,
M141,Farmacia Colibrí,Cali,SMALL,VENTA_DIRECTA,2025-04,2025-04-24T17:45:00-05:00,2025-04-26T06:30:00-05:00,2025-05-01T15:45:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-05-01T15:45:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,495,488,True,False,,,,NOT_APPLICABLE,False,,False,
