merchant_id,merchant_name,city,business_segment,acquisition_channel,registered_cohort_month,registered_at,validation_started_at,documents_completed_at,approved_at,activated_at,rejected_at,abandoned_at,last_onboarding_event_type,last_onboarding_event_at,highest_stage_reached,onboarding_status,exit_from_stage,onboarding_event_count,days_since_registered,days_in_current_stage,is_commercial_activation_30d_eligible,is_technically_activated,days_to_technical_activation
M081,Panadería Sabana,Pereira,SMALL,DIGITAL,2026-01,2026-01-22T12:00:00-05:00,2026-01-23T13:15:00-05:00,2026-01-26T20:15:00-05:00,2026-01-31T23:15:00-05:00,2026-02-02T01:45:00-05:00,,,ACTIVATED,2026-02-02T01:45:00-05:00,ACTIVATED,ACTIVATED,,5,222,211,True,True,11.0
M082,Boutique Alameda,Cartagena,MEDIUM,VENTA_DIRECTA,2025-09,2025-09-12T09:00:00-05:00,2025-09-12T20:30:00-05:00,,,,,,VALIDATION_STARTED,2025-09-12T20:30:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,354,354,True,False,
M083,Óptica Alameda,Cali,SMALL,ALIADOS,2025-07,2025-07-31T09:30:00-05:00,2025-08-01T20:30:00-05:00,2025-08-09T07:00:00-05:00,,,,2025-08-16T08:45:00-05:00,ABANDONED,2025-08-16T08:45:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,397,381,True,False,
M084,Miscelánea Andino,Bogotá,SMALL,VENTA_DIRECTA,2026-05,2026-05-08T08:45:00-05:00,2026-05-09T21:15:00-05:00,2026-05-12T09:15:00-05:00,2026-05-15T00:00:00-05:00,2026-05-19T05:15:00-05:00,,,ACTIVATED,2026-05-19T05:15:00-05:00,ACTIVATED,ACTIVATED,,5,116,105,True,True,11.0
M085,Taller Boreal,Bogotá,SMALL,VENTA_DIRECTA,2026-03,2026-03-08T17:45:00-05:00,2026-03-09T00:30:00-05:00,2026-03-13T22:00:00-05:00,2026-03-15T08:45:00-05:00,2026-03-16T22:45:00-05:00,,,ACTIVATED,2026-03-16T22:45:00-05:00,ACTIVATED,ACTIVATED,,5,177,169,True,True,8.0
M086,Papelería Prisma,Barranquilla,MEDIUM,VENTA_DIRECTA,2026-08,2026-08-03T15:45:00-05:00,2026-08-05T05:45:00-05:00,2026-08-07T04:15:00-05:00,2026-08-13T13:15:00-05:00,2026-08-15T14:30:00-05:00,,,ACTIVATED,2026-08-15T14:30:00-05:00,ACTIVATED,ACTIVATED,,5,29,17,False,True,12.0
M087,Ferretería Roble,Bogotá,SMALL,DIGITAL,2025-10,2025-10-29T13:15:00-05:00,2025-10-31T09:30:00-05:00,,,,,2025-11-03T20:00:00-05:00,ABANDONED,2025-11-03T20:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,307,302,True,False,
M088,Papelería Marea,Pereira,SMALL,VENTA_DIRECTA,2026-05,2026-05-30T09:15:00-05:00,,,,,,,REGISTERED,2026-05-30T09:15:00-05:00,REGISTERED,IN_PROGRESS,,1,94,94,True,False,
M089,Óptica Cedro,Medellín,SMALL,VENTA_DIRECTA,2025-08,2025-08-07T17:45:00-05:00,2025-08-09T17:15:00-05:00,2025-08-17T05:30:00-05:00,,,2025-08-18T11:45:00-05:00,,REJECTED,2025-08-18T11:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,390,379,True,False,
M090,Óptica Sabana,Cali,SMALL,REFERIDOS,2025-04,2025-04-29T09:00:00-05:00,2025-04-30T05:00:00-05:00,2025-05-09T04:30:00-05:00,2025-05-14T10:45:00-05:00,2025-05-17T10:45:00-05:00,,,ACTIVATED,2025-05-17T10:45:00-05:00,ACTIVATED,ACTIVATED,,5,490,472,True,True,18.0
M091,Farmacia Guayacán,Barranquilla,SMALL,VENTA_DIRECTA,2025-09,2025-09-13T11:45:00-05:00,2025-09-15T11:45:00-05:00,2025-09-22T04:30:00-05:00,2025-09-28T23:15:00-05:00,2025-10-03T02:45:00-05:00,,,ACTIVATED,2025-10-03T02:45:00-05:00,ACTIVATED,ACTIVATED,,5,353,333,True,True,20.0
M092,Miscelánea Colibrí,Cali,SMALL,ALIADOS,2025-02,2025-02-22T11:15:00-05:00,2025-02-23T14:45:00-05:00,2025-02-26T00:00:00-05:00,2025-03-04T16:45:00-05:00,2025-03-07T22:30:00-05:00,,,ACTIVATED,2025-03-07T22:30:00-05:00,ACTIVATED,ACTIVATED,,5,556,543,True,True,13.0
M093,Miscelánea Esmeralda,Cali,SMALL,ALIADOS,2025-05,2025-05-04T14:45:00-05:00,2025-05-05T11:00:00-05:00,2025-05-11T05:15:00-05:00,2025-05-12T14:30:00-05:00,2025-05-15T21:00:00-05:00,,,ACTIVATED,2025-05-15T21:00:00-05:00,ACTIVATED,ACTIVATED,,5,485,474,True,True,11.0
M094,Ferretería Nébula,Medellín,SMALL,VENTA_DIRECTA,2025-12,2025-12-18T16:15:00-05:00,2025-12-20T12:15:00-05:00,2025-12-26T20:15:00-05:00,2025-12-31T17:45:00-05:00,2026-01-01T18:45:00-05:00,,,ACTIVATED,2026-01-01T18:45:00-05:00,ACTIVATED,ACTIVATED,,5,257,243,True,True,14.0
M095,Restaurante Aurora,Bogotá,SMALL,DIGITAL,2025-07,2025-07-05T08:30:00-05:00,,,,,,2025-07-10T13:45:00-05:00,ABANDONED,2025-07-10T13:45:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,423,418,True,False,
M096,Distribuidora Prisma,Medellín,SMALL,ALIADOS,2025-04,2025-04-25T12:45:00-05:00,2025-04-25T14:00:00-05:00,2025-04-28T01:45:00-05:00,2025-05-03T07:15:00-05:00,2025-05-06T23:15:00-05:00,,,ACTIVATED,2025-05-06T23:15:00-05:00,ACTIVATED,ACTIVATED,,5,494,483,True,True,11.0
M097,Óptica Sol,Bogotá,SMALL,DIGITAL,2025-09,2025-09-15T12:00:00-05:00,2025-09-15T14:30:00-05:00,2025-09-22T07:00:00-05:00,2025-09-26T23:00:00-05:00,2025-09-27T12:15:00-05:00,,,ACTIVATED,2025-09-27T12:15:00-05:00,ACTIVATED,ACTIVATED,,5,351,339,True,True,12.0
M098,Panadería Sol,Bucaramanga,SMALL,ALIADOS,2025-04,2025-04-24T14:00:00-05:00,2025-04-25T09:00:00-05:00,,,,2025-04-26T21:15:00-05:00,,REJECTED,2025-04-26T21:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,495,493,True,False,
M099,Café Cedro,Bogotá,SMALL,DIGITAL,2025-06,2025-06-16T12:15:00-05:00,2025-06-18T02:30:00-05:00,2025-06-25T06:45:00-05:00,,,2025-06-29T00:00:00-05:00,,REJECTED,2025-06-29T00:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,442,429,True,False,
M100,Ferretería Boreal,Cali,SMALL,VENTA_DIRECTA,2025-12,2025-12-26T13:30:00-05:00,2025-12-27T08:15:00-05:00,2026-01-04T19:00:00-05:00,,,,2026-01-06T23:00:00-05:00,ABANDONED,2026-01-06T23:00:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,249,238,True,False,
M101,Mercado Nébula,Cali,MEDIUM,DIGITAL,2025-03,2025-03-11T10:30:00-05:00,2025-03-12T12:00:00-05:00,2025-03-20T02:30:00-05:00,2025-03-22T12:45:00-05:00,2025-03-25T03:00:00-05:00,,,ACTIVATED,2025-03-25T03:00:00-05:00,ACTIVATED,ACTIVATED,,5,539,525,True,True,14.0
M102,Ferretería Sol,Medellín,SMALL,DIGITAL,2026-01,2026-01-21T14:30:00-05:00,2026-01-21T23:30:00-05:00,2026-01-23T06:00:00-05:00,2026-01-26T17:15:00-05:00,2026-01-30T14:15:00-05:00,,,ACTIVATED,2026-01-30T14:15:00-05:00,ACTIVATED,ACTIVATED,,5,223,214,True,True,9.0
M103,Panadería Nébula,Cartagena,MEDIUM,DIGITAL,2025-10,2025-10-06T08:45:00-05:00,2025-10-07T19:00:00-05:00,2025-10-16T15:45:00-05:00,2025-10-20T04:15:00-05:00,2025-10-22T19:30:00-05:00,,,ACTIVATED,2025-10-22T19:30:00-05:00,ACTIVATED,ACTIVATED,,5,330,314,True,True,16.0
M104,Panadería Boreal,Medellín,SMALL,DIGITAL,2025-02,2025-02-17T16:00:00-05:00,2025-02-17T18:15:00-05:00,,,,,2025-02-20T16:00:00-05:00,ABANDONED,2025-02-20T16:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,561,558,True,False,
M105,Farmacia Coral,Cali,SMALL,ALIADOS,2025-05,2025-05-08T09:15:00-05:00,2025-05-10T08:00:00-05:00,2025-05-13T20:15:00-05:00,,,2025-05-14T06:45:00-05:00,,REJECTED,2025-05-14T06:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,481,475,True,False,
M106,Panadería Andino,Bogotá,SMALL,ALIADOS,2026-05,2026-05-18T11:00:00-05:00,2026-05-19T20:45:00-05:00,2026-05-21T23:00:00-05:00,2026-05-27T04:30:00-05:00,2026-05-31T00:15:00-05:00,,,ACTIVATED,2026-05-31T00:15:00-05:00,ACTIVATED,ACTIVATED,,5,106,93,True,True,13.0
M107,Ferretería Manzano,Bogotá,MEDIUM,DIGITAL,2025-08,2025-08-18T09:45:00-05:00,2025-08-18T14:00:00-05:00,2025-08-20T21:15:00-05:00,2025-08-24T23:45:00-05:00,2025-08-27T16:00:00-05:00,,,ACTIVATED,2025-08-27T16:00:00-05:00,ACTIVATED,ACTIVATED,,5,379,370,True,True,9.0
M108,Panadería Esmeralda,Medellín,MEDIUM,DIGITAL,2025-12,2025-12-26T17:30:00-05:00,2025-12-28T13:45:00-05:00,2025-12-31T17:30:00-05:00,2026-01-04T14:15:00-05:00,2026-01-05T07:00:00-05:00,,,ACTIVATED,2026-01-05T07:00:00-05:00,ACTIVATED,ACTIVATED,,5,249,239,True,True,10.0
M109,Floristería Boreal,Bogotá,SMALL,VENTA_DIRECTA,2025-01,2025-01-04T17:15:00-05:00,2025-01-06T06:30:00-05:00,2025-01-11T13:15:00-05:00,2025-01-14T14:15:00-05:00,2025-01-16T19:15:00-05:00,,,ACTIVATED,2025-01-16T19:15:00-05:00,ACTIVATED,ACTIVATED,,5,605,593,True,True,12.0
M110,Librería Guayacán,Medellín,SMALL,ALIADOS,2025-10,2025-10-17T11:45:00-05:00,2025-10-18T08:00:00-05:00,2025-10-26T12:45:00-05:00,2025-11-01T14:45:00-05:00,2025-11-05T06:00:00-05:00,,,ACTIVATED,2025-11-05T06:00:00-05:00,ACTIVATED,ACTIVATED,,5,319,300,True,True,19.0
M111,Floristería Prisma,Bogotá,SMALL,ALIADOS,2025-04,2025-04-14T13:00:00-05:00,2025-04-14T16:15:00-05:00,2025-04-21T18:30:00-05:00,2025-04-28T11:30:00-05:00,2025-04-29T23:15:00-05:00,,,ACTIVATED,2025-04-29T23:15:00-05:00,ACTIVATED,ACTIVATED,,5,505,490,True,True,15.0
M112,Boutique Andino,Medellín,SMALL,DIGITAL,2025-11,2025-11-24T08:30:00-05:00,2025-11-25T02:15:00-05:00,2025-12-01T06:30:00-05:00,2025-12-07T05:15:00-05:00,2025-12-10T07:45:00-05:00,,,ACTIVATED,2025-12-10T07:45:00-05:00,ACTIVATED,ACTIVATED,,5,281,265,True,True,16.0
M113,Papelería Roble,Bucaramanga,SMALL,DIGITAL,2025-11,2025-11-27T09:15:00-05:00,2025-11-29T01:15:00-05:00,2025-12-07T19:15:00-05:00,2025-12-14T13:15:00-05:00,2025-12-19T05:00:00-05:00,,,ACTIVATED,2025-12-19T05:00:00-05:00,ACTIVATED,ACTIVATED,,5,278,256,True,True,22.0
M114,Miscelánea Prisma,Barranquilla,SMALL,DIGITAL,2025-03,2025-03-11T09:45:00-05:00,2025-03-12T01:30:00-05:00,2025-03-14T06:00:00-05:00,2025-03-18T11:45:00-05:00,2025-03-20T05:00:00-05:00,,,ACTIVATED,2025-03-20T05:00:00-05:00,ACTIVATED,ACTIVATED,,5,539,530,True,True,9.0
M115,Floristería Roble,Bogotá,MEDIUM,REFERIDOS,2026-06,2026-06-11T09:30:00-05:00,2026-06-12T20:30:00-05:00,2026-06-20T19:15:00-05:00,2026-06-27T16:45:00-05:00,2026-07-02T10:30:00-05:00,,,ACTIVATED,2026-07-02T10:30:00-05:00,ACTIVATED,ACTIVATED,,5,82,61,True,True,21.0
M116,Heladería Boreal,Cali,SMALL,REFERIDOS,2026-05,2026-05-03T08:45:00-05:00,2026-05-04T11:45:00-05:00,2026-05-10T08:45:00-05:00,2026-05-12T04:15:00-05:00,2026-05-14T22:30:00-05:00,,,ACTIVATED,2026-05-14T22:30:00-05:00,ACTIVATED,ACTIVATED,,5,121,110,True,True,11.0
M117,Distribuidora Boreal,Cali,SMALL,ALIADOS,2025-05,2025-05-21T17:30:00-05:00,,,,,,2025-05-27T08:00:00-05:00,ABANDONED,2025-05-27T08:00:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,468,462,True,False,
M118,Miscelánea Granada,Bucaramanga,SMALL,REFERIDOS,2025-05,2025-05-09T15:00:00-05:00,2025-05-10T05:15:00-05:00,2025-05-15T17:15:00-05:00,2025-05-19T09:15:00-05:00,2025-05-22T06:15:00-05:00,,,ACTIVATED,2025-05-22T06:15:00-05:00,ACTIVATED,ACTIVATED,,5,480,467,True,True,13.0
M119,Ferretería Granada,Cali,SMALL,ALIADOS,2025-10,2025-10-31T15:00:00-05:00,2025-11-01T10:15:00-05:00,2025-11-11T00:15:00-05:00,2025-11-13T23:00:00-05:00,2025-11-16T16:15:00-05:00,,,ACTIVATED,2025-11-16T16:15:00-05:00,ACTIVATED,ACTIVATED,,5,305,289,True,True,16.0
M120,Miscelánea Roble,Bogotá,SMALL,REFERIDOS,2025-07,2025-07-09T11:45:00-05:00,2025-07-10T03:00:00-05:00,2025-07-14T20:30:00-05:00,2025-07-17T05:30:00-05:00,,,2025-07-27T03:15:00-05:00,ABANDONED,2025-07-27T03:15:00-05:00,APPROVED,ABANDONED,APPROVED,5,419,401,True,False,
M121,Floristería Cedro,Pereira,SMALL,ALIADOS,2025-08,2025-08-05T12:45:00-05:00,2025-08-07T13:15:00-05:00,2025-08-17T06:00:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-08-17T06:00:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,392,380,True,False,
M122,Farmacia Litoral,Barranquilla,SMALL,VENTA_DIRECTA,2025-10,2025-10-04T16:45:00-05:00,2025-10-05T02:00:00-05:00,2025-10-06T17:00:00-05:00,2025-10-07T22:45:00-05:00,2025-10-12T20:15:00-05:00,,,ACTIVATED,2025-10-12T20:15:00-05:00,ACTIVATED,ACTIVATED,,5,332,324,True,True,8.0
M123,Mercado Nogal,Bogotá,SMALL,VENTA_DIRECTA,2026-05,2026-05-30T15:15:00-05:00,2026-06-01T10:45:00-05:00,2026-06-04T04:00:00-05:00,2026-06-06T22:15:00-05:00,2026-06-11T11:15:00-05:00,,,ACTIVATED,2026-06-11T11:15:00-05:00,ACTIVATED,ACTIVATED,,5,94,82,True,True,12.0
M124,Restaurante Colibrí,Bogotá,SMALL,DIGITAL,2025-03,2025-03-06T14:15:00-05:00,2025-03-06T16:30:00-05:00,2025-03-11T13:45:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-03-11T13:45:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,544,539,True,False,
M125,Panadería Roble,Bogotá,SMALL,ALIADOS,2025-05,2025-05-29T08:30:00-05:00,2025-05-30T20:15:00-05:00,,,,,2025-06-05T14:45:00-05:00,ABANDONED,2025-06-05T14:45:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,460,453,True,False,
M126,Mercado Sabana,Bogotá,MEDIUM,DIGITAL,2025-07,2025-07-27T11:45:00-05:00,2025-07-28T20:00:00-05:00,2025-08-06T12:30:00-05:00,2025-08-13T06:45:00-05:00,,,2025-08-20T15:45:00-05:00,ABANDONED,2025-08-20T15:45:00-05:00,APPROVED,ABANDONED,APPROVED,5,401,377,True,False,
M127,Taller Alameda,Medellín,SMALL,VENTA_DIRECTA,2025-07,2025-07-22T16:30:00-05:00,2025-07-22T23:45:00-05:00,2025-07-24T16:30:00-05:00,2025-07-26T21:15:00-05:00,2025-07-29T17:45:00-05:00,,,ACTIVATED,2025-07-29T17:45:00-05:00,ACTIVATED,ACTIVATED,,5,406,399,True,True,7.0
M128,Floristería Aurora,Barranquilla,SMALL,VENTA_DIRECTA,2025-11,2025-11-22T16:30:00-05:00,2025-11-24T11:30:00-05:00,2025-12-04T04:00:00-05:00,2025-12-07T04:15:00-05:00,2025-12-11T16:45:00-05:00,,,ACTIVATED,2025-12-11T16:45:00-05:00,ACTIVATED,ACTIVATED,,5,283,264,True,True,19.0
M129,Miscelánea Coral,Cartagena,SMALL,VENTA_DIRECTA,2026-04,2026-04-09T12:15:00-05:00,2026-04-09T21:45:00-05:00,2026-04-19T04:30:00-05:00,2026-04-22T01:00:00-05:00,2026-04-22T15:30:00-05:00,,,ACTIVATED,2026-04-22T15:30:00-05:00,ACTIVATED,ACTIVATED,,5,145,132,True,True,13.0
M130,Distribuidora Aurora,Medellín,MEDIUM,ALIADOS,2026-05,2026-05-25T15:45:00-05:00,2026-05-26T00:15:00-05:00,2026-05-30T12:00:00-05:00,2026-06-02T12:00:00-05:00,,,,APPROVED,2026-06-02T12:00:00-05:00,APPROVED,IN_PROGRESS,,4,99,91,True,False,
M131,Farmacia Alameda,Bogotá,SMALL,VENTA_DIRECTA,2025-11,2025-11-06T10:00:00-05:00,2025-11-06T12:15:00-05:00,2025-11-08T18:00:00-05:00,,,,2025-11-15T23:45:00-05:00,ABANDONED,2025-11-15T23:45:00-05:00,DOCUMENTS_COMPLETED,ABANDONED,DOCUMENTS_COMPLETED,4,299,290,True,False,
M132,Ferretería Cedro,Bucaramanga,MEDIUM,DIGITAL,2026-04,2026-04-01T17:30:00-05:00,2026-04-02T14:45:00-05:00,2026-04-12T07:15:00-05:00,2026-04-17T04:30:00-05:00,2026-04-18T13:15:00-05:00,,,ACTIVATED,2026-04-18T13:15:00-05:00,ACTIVATED,ACTIVATED,,5,153,136,True,True,17.0
M133,Miscelánea Sabana,Bogotá,SMALL,DIGITAL,2026-03,2026-03-12T13:30:00-05:00,2026-03-14T14:00:00-05:00,2026-03-23T23:45:00-05:00,,,,,DOCUMENTS_COMPLETED,2026-03-23T23:45:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,173,162,True,False,
M134,Óptica Colibrí,Medellín,SMALL,REFERIDOS,2026-03,2026-03-20T10:45:00-05:00,2026-03-22T09:45:00-05:00,2026-04-01T10:00:00-05:00,2026-04-08T08:30:00-05:00,2026-04-12T02:15:00-05:00,,,ACTIVATED,2026-04-12T02:15:00-05:00,ACTIVATED,ACTIVATED,,5,165,142,True,True,23.0
M135,Taller Roble,Bogotá,MEDIUM,REFERIDOS,2025-02,2025-02-21T17:30:00-05:00,2025-02-23T12:15:00-05:00,2025-02-28T07:00:00-05:00,,,2025-03-03T18:00:00-05:00,,REJECTED,2025-03-03T18:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,557,547,True,False,
M136,Librería Alameda,Barranquilla,SMALL,DIGITAL,2026-01,2026-01-15T14:15:00-05:00,2026-01-16T04:45:00-05:00,2026-01-23T04:15:00-05:00,2026-01-28T01:30:00-05:00,2026-01-28T20:30:00-05:00,,,ACTIVATED,2026-01-28T20:30:00-05:00,ACTIVATED,ACTIVATED,,5,229,216,True,True,13.0
M137,Heladería Marea,Bucaramanga,MEDIUM,VENTA_DIRECTA,2025-06,2025-06-08T09:45:00-05:00,2025-06-10T00:00:00-05:00,2025-06-19T20:15:00-05:00,,,2025-06-20T04:00:00-05:00,,REJECTED,2025-06-20T04:00:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,450,438,True,False,
M138,Floristería Litoral,Barranquilla,SMALL,DIGITAL,2026-02,2026-02-11T16:30:00-05:00,2026-02-13T04:15:00-05:00,,,,2026-02-15T02:15:00-05:00,,REJECTED,2026-02-15T02:15:00-05:00,VALIDATION_STARTED,REJECTED,VALIDATION_STARTED,3,202,198,True,False,
M139,Restaurante Alameda,Cartagena,SMALL,DIGITAL,2026-05,2026-05-03T17:45:00-05:00,2026-05-04T10:15:00-05:00,2026-05-07T03:30:00-05:00,,,2026-05-08T04:30:00-05:00,,REJECTED,2026-05-08T04:30:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,121,116,True,False,
M140,Restaurante Andino,Cali,SMALL,DIGITAL,2025-01,2025-01-31T13:45:00-05:00,2025-02-01T08:15:00-05:00,2025-02-11T08:45:00-05:00,2025-02-13T05:00:00-05:00,,,,APPROVED,2025-02-13T05:00:00-05:00,APPROVED,IN_PROGRESS,,4,578,565,True,False,
M141,Farmacia Colibrí,Cali,SMALL,VENTA_DIRECTA,2025-04,2025-04-24T17:45:00-05:00,2025-04-26T06:30:00-05:00,2025-05-01T15:45:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-05-01T15:45:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,495,488,True,False,
M142,Café Andino,Bogotá,SMALL,ALIADOS,2026-03,2026-03-15T10:30:00-05:00,2026-03-16T23:00:00-05:00,2026-03-18T20:30:00-05:00,,,2026-03-21T05:30:00-05:00,,REJECTED,2026-03-21T05:30:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,170,164,True,False,
M143,Floristería Esmeralda,Medellín,SMALL,DIGITAL,2026-05,2026-05-26T12:15:00-05:00,2026-05-28T05:30:00-05:00,2026-06-04T14:00:00-05:00,2026-06-10T10:15:00-05:00,2026-06-11T07:00:00-05:00,,,ACTIVATED,2026-06-11T07:00:00-05:00,ACTIVATED,ACTIVATED,,5,98,82,True,True,16.0
M144,Miscelánea Litoral,Cali,SMALL,DIGITAL,2025-09,2025-09-05T16:00:00-05:00,2025-09-06T12:00:00-05:00,2025-09-10T03:15:00-05:00,,,2025-09-12T11:45:00-05:00,,REJECTED,2025-09-12T11:45:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,361,354,True,False,
M145,Taller Nébula,Bogotá,MEDIUM,ALIADOS,2026-04,2026-04-22T13:00:00-05:00,2026-04-22T17:30:00-05:00,2026-04-25T00:00:00-05:00,2026-05-01T04:15:00-05:00,2026-05-02T01:15:00-05:00,,,ACTIVATED,2026-05-02T01:15:00-05:00,ACTIVATED,ACTIVATED,,5,132,122,True,True,10.0
M146,Librería Sol,Bogotá,SMALL,VENTA_DIRECTA,2025-09,2025-09-19T11:00:00-05:00,2025-09-20T01:45:00-05:00,,,,,2025-09-22T01:45:00-05:00,ABANDONED,2025-09-22T01:45:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,347,344,True,False,
M147,Heladería Alameda,Bucaramanga,SMALL,REFERIDOS,2025-02,2025-02-12T09:30:00-05:00,2025-02-13T04:45:00-05:00,2025-02-17T15:45:00-05:00,2025-02-20T05:45:00-05:00,2025-02-23T04:15:00-05:00,,,ACTIVATED,2025-02-23T04:15:00-05:00,ACTIVATED,ACTIVATED,,5,566,555,True,True,11.0
M148,Librería Manzano,Bogotá,MEDIUM,REFERIDOS,2026-05,2026-05-05T15:30:00-05:00,2026-05-07T01:45:00-05:00,2026-05-15T05:45:00-05:00,2026-05-20T07:15:00-05:00,2026-05-21T01:45:00-05:00,,,ACTIVATED,2026-05-21T01:45:00-05:00,ACTIVATED,ACTIVATED,,5,119,103,True,True,16.0
M149,Panadería Cedro,Pereira,SMALL,DIGITAL,2025-02,2025-02-14T09:30:00-05:00,2025-02-15T23:45:00-05:00,,,,,2025-02-23T11:30:00-05:00,ABANDONED,2025-02-23T11:30:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,564,555,True,False,
M150,Farmacia Manzano,Barranquilla,SMALL,ALIADOS,2025-04,2025-04-04T13:30:00-05:00,2025-04-05T23:45:00-05:00,2025-04-08T18:00:00-05:00,2025-04-14T14:15:00-05:00,2025-04-17T21:30:00-05:00,,,ACTIVATED,2025-04-17T21:30:00-05:00,ACTIVATED,ACTIVATED,,5,515,502,True,True,13.0
M151,Boutique Aurora,Bogotá,SMALL,VENTA_DIRECTA,2026-04,2026-04-22T13:30:00-05:00,2026-04-24T00:00:00-05:00,2026-04-25T18:00:00-05:00,2026-05-01T00:30:00-05:00,2026-05-02T16:00:00-05:00,,,ACTIVATED,2026-05-02T16:00:00-05:00,ACTIVATED,ACTIVATED,,5,132,122,True,True,10.0
M152,Farmacia Nébula,Cartagena,SMALL,DIGITAL,2025-08,2025-08-14T15:30:00-05:00,2025-08-16T04:15:00-05:00,2025-08-24T14:45:00-05:00,2025-08-28T10:00:00-05:00,2025-08-29T14:30:00-05:00,,,ACTIVATED,2025-08-29T14:30:00-05:00,ACTIVATED,ACTIVATED,,5,383,368,True,True,15.0
M153,Papelería Boreal,Bogotá,SMALL,ALIADOS,2026-08,2026-08-07T08:00:00-05:00,2026-08-08T05:45:00-05:00,2026-08-10T05:00:00-05:00,2026-08-11T10:45:00-05:00,2026-08-15T04:30:00-05:00,,,ACTIVATED,2026-08-15T04:30:00-05:00,ACTIVATED,ACTIVATED,,5,25,17,False,True,8.0
M154,Taller Guayacán,Pereira,SMALL,DIGITAL,2025-03,2025-03-13T13:45:00-05:00,2025-03-14T02:30:00-05:00,,,,,2025-03-18T20:00:00-05:00,ABANDONED,2025-03-18T20:00:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,537,532,True,False,
M155,Miscelánea Marea,Medellín,SMALL,ALIADOS,2026-08,2026-08-19T14:00:00-05:00,2026-08-21T05:00:00-05:00,2026-08-28T06:00:00-05:00,,,,,DOCUMENTS_COMPLETED,2026-08-28T06:00:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,13,4,False,False,
M156,Boutique Litoral,Medellín,SMALL,DIGITAL,2026-06,2026-06-19T16:30:00-05:00,2026-06-19T23:15:00-05:00,2026-06-28T04:30:00-05:00,2026-07-02T07:00:00-05:00,2026-07-06T05:15:00-05:00,,,ACTIVATED,2026-07-06T05:15:00-05:00,ACTIVATED,ACTIVATED,,5,74,57,True,True,17.0
M157,Panadería Colibrí,Cali,MEDIUM,VENTA_DIRECTA,2026-08,2026-08-28T10:00:00-05:00,2026-08-30T09:30:00-05:00,,,,,,VALIDATION_STARTED,2026-08-30T09:30:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,4,2,False,False,
M158,Café Granada,Cali,MEDIUM,ALIADOS,2026-06,2026-06-12T12:45:00-05:00,2026-06-12T21:45:00-05:00,2026-06-22T19:30:00-05:00,2026-06-27T04:45:00-05:00,2026-07-02T03:30:00-05:00,,,ACTIVATED,2026-07-02T03:30:00-05:00,ACTIVATED,ACTIVATED,,5,81,61,True,True,20.0
M159,Farmacia Granada,Medellín,MEDIUM,ALIADOS,2026-05,2026-05-15T13:15:00-05:00,2026-05-17T04:45:00-05:00,2026-05-19T06:15:00-05:00,2026-05-25T12:45:00-05:00,2026-05-29T20:45:00-05:00,,,ACTIVATED,2026-05-29T20:45:00-05:00,ACTIVATED,ACTIVATED,,5,109,95,True,True,14.0
